Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers,Youtube link,Audio Link
191,Ek Mutthi Aasaman,Ek Mutthi Aasaman,1973,Madan Mohan,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=lIOhSl9CDsw,http://mymp3song.org/filedownload/38404/ek_mutthi_aasman
192,Ek Nahin Do Nahin,Biwi O Biwi,1981,R D Burman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=s_IzgdEiaY4,http://mymp3song.org/filedownload/5244/ek_nahin_do_nahin
193,Pyar ko Chahiye kya Ek najar,Ek Najar,1972,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=YR1TofZXiJE,http://mymp3song.org/filedownload/660/ek_nazar
194,Ek Paheli Hai Tu,Heera Panna,1973,R D Burman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=K9idBwrh8-s,http://mymp3song.org/filedownload/3875/ek_paheli_hai_tu
195,Ek  Rasta Do Rahi,Ram Balram,1980,laxmikant Pyarelal,Duet,Male,Kishor Kumar& Mahammad Rafi,https://www.youtube.com/watch?v=7MVBflxV_JM,http://mymp3song.org/filedownload/12852/ek_rasta_do_rahi
196,Ek Rutu Aaye Ek Rutu Jaye,Gautam Govinda,1979,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=rel4AwzxyTA,http://mymp3song.org/filedownload/40596/ek_ritu_aaye_ek_ritu_jaye
197,Ek Roj main Tadapkar,Bemisal,1982,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=AmQHiMk_Qxw,http://mymp3song.org/filedownload/5232/ek_roz_main_tadapkar
198,Ek Sawal hai,Bhut Bungala,1965,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=sIkg9P8ZxMQ,http://mymp3song.org/filedownload/5529/ek_sawaal_hai
199,Ga Ga Ga Gayeja,Professor Pyarelal,1981,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=Y5cK46vEFHg,http://mymp3song.org/filedownload/17913/ga_ga_ga_gayeja_-_male
200,Gadi Bula Rahi Hai,Dost ,1974,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=i46jlVrrwdQ,http://mymp3song.org/filedownload/20404/gaadi_bula_rahi_hai
